公司名称,岗位,当前状态,工作地点,企业性质,投递渠道,岗位链接,投递时间,备注,最后更新时间
智元,结构,已投递,上海,私企/民企,官网投递,https://agirobot.jobs.feishu.cn/campusrecruitment/position/application,2026-07-16,,2026-07-16 09:47:26
强脑科技,待定,已投递,待定/杭州,私企/民企,小程序投递,,2026-07-09,,2026-07-09 02:05:56
零跑汽车,结构仿真工程师,已投递,杭州,私企/民企,其他,,2026-07-09,,2026-07-09 02:15:32
拓竹科技,机械设计工程师,已投递,深圳,私企/民企,官网投递,https://bambulab.jobs.feishu.cn/campus/position/application,2026-06-29,,2026-06-29 04:41:31
长鑫存储,战略预备队,池子,合肥,私企/民企,官网投递,https://cxmt.zhiye.com/personal/deliveryRecord,2026-06-29,,2026-07-01 03:09:16
大疆,机械设计,笔试,深圳,私企/民企,官网投递,https://apply.careers.dji.com/candidate/applications/deliver-query/dji,2026-06-29,,2026-07-21 01:54:11
歌尔,机械开发岗,已投递,潍坊，青岛,私企/民企,官网投递,https://wecruit.hotjob.cn/SU63c50f8b0dcad47488052192/mc/detail?postId=810622&recruitType=campus,2026-06-29,,2026-06-29 08:06:39
中船715,机械研发,已投递,镇江,研究所,招聘软件投递,,2026-06-26,,2026-06-26 02:28:06
科大讯飞,机械结构工程师,已投递,合肥,私企/民企,招聘软件投递,https://www.lipind.com/unit/detail/job/161858,2026-06-26,,2026-06-26 09:21:09
美的集团冰箱事业部,创新结构研究员（机械设计）,已投递,合肥,私企/民企,官网投递,https://www.lipind.com/position/detail/814517.html,2026-06-26,,2026-06-26 09:25:58
巨一科技,专技岗,已投递,合肥,私企/民企,官网投递,https://www.lipind.com/unit/detail/job/58714,2026-06-26,,2026-06-26 09:32:13
 安徽省农业科学院,专业技术岗位（农业机械化工程、机械电子工程）,已投递,合肥,研究所,官网投递,https://www.lipind.com/position/detail/1071907.html,2026-06-26,,2026-06-26 09:35:00
中国航天科工集团,待定,已投递,待定,研究所,其他,https://c.iguopin.com/?_force=1782357936558,2026-06-25,,2026-06-25 03:34:38
合肥通用机械研究所,待定,已投递,合肥,研究所,官网投递,,2026-06-25,,2026-06-25 03:35:47
中汽中心,待定,已投递,待定,国企,官网投递,https://career.catarc.ac.cn/RedseaPlatform/zhaopin/zpChannelQrCode/campus_recruit/officeWebsite.mob?jumpPageId=record,2026-06-25,,2026-06-25 03:36:35
禾赛科技,机械工程师（消费电子）,已投递,上海,私企/民企,官网投递,https://kwh0jtf778.jobs.feishu.cn/229043/position/application,2026-06-24,,2026-06-25 03:38:31
三一重工,机械工程师（装载）,已投递,湖州,私企/民企,官网投递,https://sanycampus.zhiye.com/personal/deliveryRecord,2026-06-23,,2026-06-23 00:00:00
中天科技,研发,已投递,常州,私企/民企,线下招聘会投递,,2026-06-23,,2026-06-23 00:00:00
中天下辖盐城分公司,研发,Offer,盐城,私企/民企,线下招聘会投递,,2026-06-23,,2026-07-17 02:12:03
苏州乐享智能科技,机械结构工程师,已投递,苏州,私企/民企,招聘软件投递,https://www.zhaopin.com/jobdetail/CCL1369707180J40843201011.htm?refcode=4034&srccode=403401,2026-06-22,初创机器人公司,2026-06-22 00:00:00
